first;last;username;password;email
Student1;S;student1;123;mail@email.com
Student2;S;student2;123;mail@email.com
Student3;S;student3;123;mail@email.com
Student4;S;student4;123;mail@email.com
Student5;S;student5;123;mail@email.com
Student6;S;student6;123;mail@email.com
Student7;S;student7;123;mail@email.com
Student8;S;student8;123;mail@email.com
Student9;S;student9;123;mail@email.com
Student10;S;student10;123;mail@email.com
Student11;S;student11;123;mail@email.com
Student12;S;student12;123;mail@email.com
Student13;S;student13;123;mail@email.com
Student14;S;student14;123;mail@email.com
Student15;S;student15;123;mail@email.com
Student16;S;student16;123;mail@email.com
Student17;S;student17;123;mail@email.com
Student18;S;student18;123;mail@email.com
Student19;S;student19;123;mail@email.com
Student20;S;student20;123;mail@email.com
Student21;S;student21;123;mail@email.com
Student22;S;student22;123;mail@email.com
Student23;S;student23;123;mail@email.com
Student24;S;student24;123;mail@email.com
Student25;S;student25;123;mail@email.com
Student26;S;student26;123;mail@email.com
Student27;S;student27;123;mail@email.com
Student28;S;student28;123;mail@email.com
Student29;S;student29;123;mail@email.com
Student30;S;student30;123;mail@email.com
Student31;S;student31;123;mail@email.com
Student32;S;student32;123;mail@email.com
Student33;S;student33;123;mail@email.com
Student34;S;student34;123;mail@email.com
Student35;S;student35;123;mail@email.com
Student36;S;student36;123;mail@email.com
Student37;S;student37;123;mail@email.com
Student38;S;student38;123;mail@email.com
Student39;S;student39;123;mail@email.com
Student40;S;student40;123;mail@email.com
Student41;S;student41;123;mail@email.com
Student42;S;student42;123;mail@email.com
Student43;S;student43;123;mail@email.com
Student44;S;student44;123;mail@email.com
Student45;S;student45;123;mail@email.com
Student46;S;student46;123;mail@email.com
Student47;S;student47;123;mail@email.com
Student48;S;student48;123;mail@email.com
Student49;S;student49;123;mail@email.com
Student50;S;student50;123;mail@email.com
Student51;S;student51;123;mail@email.com
Student52;S;student52;123;mail@email.com
Student53;S;student53;123;mail@email.com
Student54;S;student54;123;mail@email.com
Student55;S;student55;123;mail@email.com
Student56;S;student56;123;mail@email.com
Student57;S;student57;123;mail@email.com
Student58;S;student58;123;mail@email.com
Student59;S;student59;123;mail@email.com
Student60;S;student60;123;mail@email.com
Student61;S;student61;123;mail@email.com
Student62;S;student62;123;mail@email.com
Student63;S;student63;123;mail@email.com
Student64;S;student64;123;mail@email.com
Student65;S;student65;123;mail@email.com
Student66;S;student66;123;mail@email.com
Student67;S;student67;123;mail@email.com
Student68;S;student68;123;mail@email.com
Student69;S;student69;123;mail@email.com
Student70;S;student70;123;mail@email.com
Student71;S;student71;123;mail@email.com
Student72;S;student72;123;mail@email.com
Student73;S;student73;123;mail@email.com
Student74;S;student74;123;mail@email.com
Student75;S;student75;123;mail@email.com
Student76;S;student76;123;mail@email.com
Student77;S;student77;123;mail@email.com
Student78;S;student78;123;mail@email.com
Student79;S;student79;123;mail@email.com
Student80;S;student80;123;mail@email.com
Student81;S;student81;123;mail@email.com
